"Experiment","Citation","Depth","Sample.date","Time.(years)","ambient.CO2.(mean).g.C.m-2","increased.CO2.(mean).g.C.m-2","ambient.CO2.(number)","increased.CO2.(number)","Description.of.data.source","Value.treatment"
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3366.5196177188,3134.8346995461,3,3,"pers. comm.",NA
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3348,3472.6,3,3,"pers. comm.",NA
"SwissFACE- grass - high N","Van Kessel et al. 2006","0-10 cm","may 2003",10,3307.86757655984,3251.85925261345,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1995",2,2803.36,2862.4,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1996",3,2979,3558,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1997",4,2818.24409945582,2908.74697904152,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1998",5,2938.63826153607,3258.55381760653,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2848.04560593007,2811.96122579272,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2627.99111048472,3013.15245665973,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3366.76970484475,3224.70704505265,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2002",9,2963,3571.6,3,3,"pers. comm.",NA
"SwissFACE- clover - low N","Van Kessel et al. 2006","0-10 cm","may 2003",10,2903.16169632247,3025.61880973095,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1995",2,2869.12,3448.68,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1996",3,3186,3606,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1997",4,2626.72548217912,2946.51629255846,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1998",5,3234.35606802841,3310.90268528255,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 1999",6,2841.61425624118,3101.06572754644,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2000",7,2730.05171333197,2346.37745397213,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2001",8,3612.46590199302,3626.55822876891,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2002",9,3154,3549.1,3,3,"pers. comm.",NA
"SwissFACE- clover - high N","Van Kessel et al. 2006","0-10 cm","may 2003",10,2947.05886336855,3185.60089018741,3,3,"pers. comm.",NA
"Swiss Greenhouse","Körner and Arnone 1992","0-20 cm","-",0,1340,1302,2,2,"table 4",NA
"Swiss Greenhouse","Körner and Arnone 1992","0-20 cm","-",0.25,1228,996,2,2,"table 4",NA
"Tallgrass Prairie","Rice et al. 1994","0-5 cm","nov. 1992",2.5,3081.3,2905.75,3,3,"table 1","bulk density = 0.93 g/cm3 (Williams et al. 2000)"
"Tallgrass Prairie","Williams et al. 2000","0-5 cm","oct. 1996",8,2264.85,2320.5,3,3,"table 1","bulk density = 0.93 g/cm3 (Williams et al. 2000)"
"UMBS - aspen","Zak et al. 1993","0-15 cm","may 1991",0,364.55,233.55,4,4,"table 2","assumed bulk density: 1.0 g/cm3"
"UMBS - aspen","Zak et al. 1993","0-15 cm","oct. 1991",0.5,156.5,232.5,4,4,"table 2","assumed bulk density: 1.0 g/cm3"
"WSL - loam, low N","Hagedorn et al. 2001","0-10 cm","jan. 1995",0,1338,1380,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - loam, low N","Hagedorn et al. 2001","0-10 cm","sept. 1998",3.75,1286.02037155628,1418.39265143871,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - loam, high N","Hagedorn et al. 2001","0-10 cm","jan. 1995",0,1347,1289,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - loam, high N","Hagedorn et al. 2001","0-10 cm","sept. 1998",3.75,1578.52719438076,1607.90847098827,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - sand, low N","Hagedorn et al. 2001","0-10 cm","jan. 1995",0,1287,1294,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - sand, low N","Hagedorn et al. 2001","0-10 cm","sept. 1998",3.75,1251.84413712867,1240.14943339582,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - sand, high N","Hagedorn et al. 2001","0-10 cm","jan. 1995",0,1348,1278,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
"WSL - sand, high N","Hagedorn et al. 2001","0-10 cm","sept. 1998",3.75,1104.17395645784,1117.42700735351,4,4,"fig. 4, pers. comm.","assumed bulk density: 1.0 g/cm3"
